date,section,n_articles,mean_headline,mean_body,mean_delta
2024-12-04,business,1,-0.0772,0.1531,-0.2303
2025-01-06,business,1,-0.3182,-0.8074,0.4892
2025-01-16,business,1,-0.3818,-0.8982,0.5164
2025-02-02,business,2,-0.03340000000000001,-0.5269,0.4935
2025-02-16,business,2,-0.07519999999999999,0.86765,-0.94285
2025-03-05,business,1,0.296,-0.8932,1.1892
2025-03-12,business,1,-0.7003,0.5574,-1.2577
2025-04-03,business,1,-0.4404,0.5719,-1.0123
2025-04-07,business,1,0.296,0.0772,0.2188
2025-04-10,business,1,0.2732,0.0,0.2732
2025-04-11,business,1,-0.4215,-0.7469,0.3254
2025-04-15,business,2,0.0,-0.26395,0.26395
2025-05-01,business,1,0.0,-0.9169,0.9169
2025-06-18,business,1,0.6261,-0.5267,1.1528
2025-06-19,business,1,-0.2023,0.09,-0.2923
2025-07-14,business,1,0.1027,0.9042,-0.8015
2025-07-31,business,1,0.5978,-0.0145,0.6123
2025-08-07,business,2,0.0242,0.2975,-0.27330000000000004
2025-08-13,business,1,-0.2732,0.9497,-1.2229
2025-08-22,business,1,0.0,0.7935,-0.7935
2025-08-29,business,1,0.6124,-0.0516,0.664
2025-09-18,business,2,0.0,-0.030799999999999994,0.030799999999999994
2025-09-30,business,1,-0.5106,-0.4019,-0.10870000000000007
2025-10-06,business,1,0.4019,0.936,-0.5341
2025-10-29,business,1,0.4692,-0.7184,1.1876
2025-11-04,business,1,0.296,0.8689,-0.5729
2025-11-06,business,2,0.55925,0.8001499999999999,-0.2409
2025-11-10,business,1,-0.5994,-0.3182,-0.28120000000000006
2025-11-11,business,1,-0.296,-0.6908,0.3948
2025-11-17,business,1,0.0,-0.3321,0.3321
2025-11-19,business,1,0.4588,0.9403,-0.48150000000000004
2025-11-25,business,2,0.04744999999999999,-0.007749999999999979,0.05519999999999997
2025-11-27,business,2,0.010050000000000003,-0.04420000000000002,0.05424999999999999
2025-11-29,business,1,0.0,-0.4512,0.4512
2025-12-02,business,1,0.0,-0.8575,0.8575
2025-12-03,business,1,-0.3818,-0.8807,0.49890000000000007
2025-12-04,business,2,-0.31845,-0.2831,-0.03535000000000002
2025-12-05,business,4,-0.01680000000000001,-0.1439,0.1271
2025-12-07,business,2,0.10320000000000001,0.9532499999999999,-0.85005
2025-12-08,business,2,0.33525,-0.7838499999999999,1.1191
2025-12-09,business,5,-0.1022,-0.030559999999999986,-0.07164000000000004
2025-12-11,business,14,-0.2105642857142857,-0.16025714285714285,-0.050307142857142884
2025-12-12,business,11,-0.16532727272727274,-0.035172727272727286,-0.13015454545454544
2025-12-13,business,3,0.17346666666666666,0.1706,0.0028666666666666424
2025-12-14,business,1,0.0,0.7579,-0.7579
2024-12-08,technology,1,0.0,0.5972,-0.5972
2024-12-14,technology,1,-0.6486,-0.9081,0.25950000000000006
2024-12-27,technology,1,0.7096,0.9758,-0.2662
2025-01-08,technology,1,-0.8176,-0.8934,0.07579999999999998
2025-01-29,technology,1,0.0,-0.2732,0.2732
2025-02-05,technology,1,-0.6597,0.6705,-1.3302
2025-02-11,technology,1,0.0,0.9056,-0.9056
2025-02-15,technology,1,0.0,0.52,-0.52
2025-02-17,technology,2,-0.276,0.8485499999999999,-1.1245500000000002
2025-02-21,technology,1,0.0,0.34,-0.34
2025-02-27,technology,1,0.4404,0.85,-0.40959999999999996
2025-03-04,technology,1,0.0,0.9042,-0.9042
2025-03-05,technology,1,0.0,0.2023,-0.2023
2025-03-19,technology,1,0.4019,0.8074,-0.4055
2025-03-21,technology,1,0.5859,0.9319,-0.346
2025-03-25,technology,1,-0.4767,-0.9313,0.4546
2025-03-31,technology,1,0.4019,0.25,0.15189999999999998
2025-04-09,technology,1,0.0,0.8597,-0.8597
2025-04-11,technology,2,0.0,0.70455,-0.70455
2025-04-17,technology,1,0.0,-0.128,0.128
2025-04-21,technology,1,0.0,0.9413,-0.9413
2025-04-22,technology,1,0.128,0.6369,-0.5089
2025-04-27,technology,1,0.4767,0.9723,-0.49560000000000004
2025-04-29,technology,1,0.3818,-0.6368,1.0186
2025-05-02,technology,1,0.0,0.9371,-0.9371
2025-05-05,technology,1,0.0,0.714,-0.714
2025-05-11,technology,1,0.0,-0.296,0.296
2025-05-21,technology,1,0.0,0.6526,-0.6526
2025-05-22,technology,1,0.6369,0.9646,-0.3277
2025-05-23,technology,1,0.0,0.7184,-0.7184
2025-05-24,technology,1,0.3612,0.8442,-0.48299999999999993
2025-05-29,technology,1,0.0516,-0.3457,0.3973
2025-06-01,technology,1,-0.296,-0.9633,0.6673
2025-06-02,technology,1,0.5423,0.9398,-0.39749999999999996
2025-06-12,technology,1,0.0,0.7884,-0.7884
2025-06-13,technology,1,0.128,0.6943,-0.5663
2025-06-19,technology,1,0.6369,0.9325,-0.2956
2025-06-26,technology,2,0.2553,0.2032,0.052100000000000035
2025-06-29,technology,1,0.0,0.9001,-0.9001
2025-07-01,technology,1,0.0,0.7717,-0.7717
2025-07-05,technology,1,0.0,0.5574,-0.5574
2025-07-07,technology,1,0.0,0.8042,-0.8042
2025-07-12,technology,1,0.0,0.5719,-0.5719
2025-07-22,technology,2,-0.17,0.7812,-0.9512
2025-08-07,technology,2,0.1591,0.887,-0.7279
2025-08-08,technology,1,0.0,0.5859,-0.5859
2025-08-13,technology,1,0.4939,0.8689,-0.375
2025-08-24,technology,1,0.0,0.9313,-0.9313
2025-08-25,technology,1,-0.5267,-0.836,0.3093
2025-08-27,technology,1,0.0,-0.9499,0.9499
2025-09-03,technology,1,0.0,0.0877,-0.0877
2025-09-19,technology,1,-0.6597,-0.7992,0.13950000000000007
2025-09-22,technology,1,0.0,0.7574,-0.7574
2025-09-23,technology,1,0.0,0.9038,-0.9038
2025-09-30,technology,2,0.24695,0.9416500000000001,-0.6947000000000001
2025-10-03,technology,1,-0.5267,0.7713,-1.298
2025-10-10,technology,1,0.0,0.7906,-0.7906
2025-10-13,technology,1,0.0,0.8555,-0.8555
2025-10-15,technology,1,0.2263,0.8834,-0.6571
2025-10-17,technology,1,-0.1531,0.7814,-0.9345
2025-10-19,technology,1,0.25,0.8591,-0.6091
2025-10-22,technology,1,0.0,0.9537,-0.9537
2025-10-27,technology,1,-0.5106,0.6621,-1.1727
2025-10-28,technology,1,0.0,0.9545,-0.9545
2025-11-03,technology,1,0.1779,0.9578,-0.7799
2025-11-08,technology,1,0.5106,0.9338,-0.4231999999999999
2025-11-15,technology,2,-0.5326500000000001,-0.84495,0.31229999999999997
2025-11-17,technology,1,0.0,0.8979,-0.8979
2025-11-18,technology,1,0.6808,0.714,-0.03320000000000001
2025-11-19,technology,1,0.0,0.8122,-0.8122
2025-11-21,technology,1,-0.4939,0.1482,-0.6421
2025-11-27,technology,1,0.0,0.9129,-0.9129
2025-12-01,technology,1,0.0,0.9898,-0.9898
2025-12-08,technology,2,-0.49985,0.2751,-0.77495
2025-12-10,technology,1,0.1779,0.8957,-0.7178
2025-12-12,technology,3,0.21230000000000002,0.8869666666666666,-0.6746666666666666
2025-12-13,technology,1,0.4939,0.9001,-0.4062
2025-12-14,technology,1,0.6486,0.4767,0.17189999999999994
2024-12-01,world,1,0.4019,0.9842,-0.5823
2025-01-27,world,1,-0.3182,-0.7787,0.46049999999999996
2025-03-06,world,1,0.0,0.5346,-0.5346
2025-04-08,world,1,-0.6597,-0.9578,0.29810000000000003
2025-04-11,world,1,-0.5994,-0.6486,0.04919999999999991
2025-05-06,world,1,-0.8807,-0.9893,0.10859999999999992
